,StudyName,ExportDate,Name,Age,Gender,StimulusName,SlideType,EventSource,UTCTimestamp,Timestamp,MediaTime,TimeSignal,GazeLeftx,GazeLefty,GazeRightx,GazeRighty,PupilLeft,PupilRight,DistanceLeft,DistanceRight,CameraLeftX,CameraLeftY,CameraRightX,CameraRightY,ValidityLeft,ValidityRight,GazeX,GazeY,GazeAOI,InterpolatedGazeX,InterpolatedGazeY,GazeEventType,GazeVelocityAngle,SaccadeSeq,SaccadeStart,SaccadeDuration,FixationSeq,FixationX,FixationY,FixationStart,FixationDuration,FixationAOI,PostMarker,Annotation,LiveMarker,KeyStroke,MarkerText,SceneType,SceneOutput,SceneParent Current_task
9574,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211245001,20170609_141245001,80046,87154,-1,-1,509,370,-1,2.459183,-1,486.3142,-1,-1,0.3372806,0.4855093,4,0,509,370,,509,370,,0,,,,62,524,366,80046,175,,,,,,,,,
9725,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211246260,20170609_141246260,81304,88412,-1,-1,1356,308,-1,-1,-1,491.6417,-1,-1,0.3274193,0.4862281,4,0,1356,308,,1356,308,,0,,,,63,1365,294,81304,175,,,,,,,,,
9749,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211246463,20170609_141246463,81507,88612,1528,256,-1,-1,-1,-1,512.7388,-1,0.4510008,0.4918821,-1,-1,0,4,1528,256,,1528,256,,0,,,,64,1540,236,81507,115,,,,,,,,,
9877,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211247531,20170609_141247531,82575,89679,-1,-1,1524,251,-1,2.735107,-1,504.8672,-1,-1,0.3239372,0.4874121,4,0,1524,251,,1524,251,,0,,,,65,1535,246,82575,146,,,,,,,,,
9969,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211248293,20170609_141248293,83337,90446,427,286,512,363,-1,-1,530.2128,518.6252,0.4581686,0.4922273,0.3306477,0.4879676,0,0,470,324,,470,324,,0,,,,66,442,305,83337,109,,,,,,,,,
10108,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211249452,20170609_141249452,84496,91604,1343,308,1368,322,2.76622,2.716278,529.5863,512.2567,0.4497915,0.49226,0.3229311,0.4882171,0,0,1356,315,,1356,315,,0,,,,67,1367,319,84496,201,,,,,,,,,
10201,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211250227,20170609_141250227,85271,92379,-1,-1,1225,362,-1,2.829987,-1,512.6589,-1,-1,0.3238626,0.4878388,4,0,1225,362,,1225,362,,0,,,,68,1232,349,85271,100,,,,,,,,,
10220,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211250385,20170609_141250385,85429,92537,1567,274,1587,250,-1,-1,533.3868,518.2253,0.4497201,0.4928346,0.3225216,0.4878914,0,0,1577,262,,1577,262,,0,,,,69,1568,275,85429,175,,,,,,,,,
10338,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211251368,20170609_141251368,86412,93520,693,401,-1,-1,-1,-1,513.3695,-1,0.4570798,0.4928243,-1,-1,0,4,693,401,,693,401,,0,,,,70,708,404,86412,159,,,,,,,,,
10480,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211252552,20170609_141252552,87597,94703,-1,-1,1380,358,-1,2.698929,-1,515.9875,-1,-1,0.3203135,0.4894908,4,0,1380,358,,1380,358,,0,,,,71,1375,359,87597,150,,,,,,,,,
10501,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211252731,20170609_141252731,87776,94878,1457,336,1434,372,2.689789,2.67218,527.4908,510.507,0.447788,0.493443,0.3202688,0.4898435,0,0,1446,354,,1446,354,,0,,,,72,1458,356,87776,103,,,,,,,,,
10784,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211255084,20170609_141255084,90129,97237,1381,366,1434,379,-1,-1,522.5428,512.046,0.4465726,0.4947361,0.3177507,0.4907356,0,0,1408,372,,1408,372,,0,,,,73,1436,367,90129,117,,,,,,,,,
10800,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211255219,20170609_141255219,90264,97370,1437,358,-1,-1,-1,-1,530.2585,-1,0.4454789,0.4945989,-1,-1,0,4,1437,358,,1437,358,,0,,,,74,1448,357,90264,111,,,,,,,,,
11020,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211257050,20170609_141257050,92095,99203,1432,422,1442,444,2.844925,2.885406,518.8623,509.739,0.4428117,0.4959854,0.3136896,0.4933152,0,0,1437,433,,1437,433,,0,,,,76,1464,445,92095,167,,,,,,,,,
11041,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211257225,20170609_141257225,92270,99378,1437,453,1400,500,2.793518,1.901886,511.8314,497.0427,0.4423591,0.4961347,0.3177141,0.5000663,0,0,1418,476,,1418,476,,0,,,,77,1424,465,92270,117,,,,,,,,,
11056,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211257351,20170609_141257351,92396,99503,-1,-1,1453,484,-1,2.728043,-1,493.8212,-1,-1,0.3134972,0.4936137,4,0,1453,484,,1453,484,,0,,,,78,1431,465,92396,149,,,,,,,,,
11079,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211257542,20170609_141257542,92587,99695,1529,416,-1,-1,-1,-1,515.7303,-1,0.4416153,0.4965638,-1,-1,0,4,1529,416,,1529,416,,0,,,,79,1527,438,92587,159,,,,,,,,,
11127,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211257942,20170609_141257942,92987,100095,468,475,528,557,-1,-1,511.6072,492.4608,0.4491501,0.4965026,0.3208725,0.4941549,0,0,498,516,,498,516,,0,,,,80,454,511,92987,308,,,,,,,,,
11165,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211258258,20170609_141258258,93303,100411,-1,-1,461,542,-1,-1,-1,499.759,-1,-1,0.3226362,0.4938599,4,0,461,542,,461,542,,0,,,,81,449,525,93303,134,,,,,,,,,
11183,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211258408,20170609_141258408,93453,100561,-1,-1,517,536,-1,-1,-1,499.8344,-1,-1,0.323013,0.4937043,4,0,517,536,,517,536,,0,,,,82,500,522,93453,184,,,,,,,,,
11211,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211258642,20170609_141258642,93687,100795,513,492,564,548,-1,-1,505.464,505.4489,0.4521833,0.4967319,0.3223234,0.493864,0,0,538,520,,538,520,,0,,,,83,551,518,93687,111,,,,,,,,,
11238,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211258866,20170609_141258866,93911,101020,661,490,715,533,-1,-1,510.5863,503.9435,0.4494841,0.4966049,0.3199812,0.493881,0,0,688,512,,688,512,,0,,,,84,696,518,93911,109,,,,,,,,,
11434,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211300503,20170609_141300503,95548,102653,479,532,524,572,2.614563,2.741806,506.4438,508.3929,0.4499986,0.4970529,0.3202388,0.4937224,0,0,502,552,,502,552,,0,,,,85,486,556,95548,164,,,,,,,,,
11492,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211300983,20170609_141300983,96028,103136,667,557,-1,-1,-1,-1,494.8028,-1,0.4505895,0.4971438,-1,-1,0,4,667,557,,667,557,,0,,,,86,677,564,96028,117,,,,,,,,,
11509,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211301128,20170609_141301128,96173,103278,657,544,692,562,2.654129,2.682678,501.229,504.3925,0.4503975,0.4967006,0.3198241,0.4932911,0,0,674,553,,674,553,,0,,,,87,680,551,96173,105,,,,,,,,,
11681,,20180125,p7,,,visualizationstudy,TestImage,ET,20170609_211302558,20170609_141302558,97603,104711,1359,559,1380,555,-1,-1,511.2867,495.1507,0.4419274,0.4976574,0.3125798,0.4945692,0,0,1370,557,,1370,557,,0,,,,88,1355,568,97603,100,,,,,,,,,
