Participant,Task,AOI,NumberOfFixations,TotalFixationDuration,FixationDurationAverage,NumberOfSaccades,TotalSaccadeLength,SaccadeLengthAverage,TotalSaccadeAbsAngle,SaccadeAbsAngleAverage,TotalSaccadeRelAngle,SaccadeRelAngleAverage,LongestFixationDurationInAOI,ProportionOfTotalFixations,ProportionOfTotalFixationDuration
30,DH3,XAxis_AOI,9,1674,186.0,9,2942.0510498790004,326.8945610976667,1089.2215301,121.02461445555556,744.2121155909998,82.69023506566664,285,0.06976744186046512,0.0671453210861979
30,DH3,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,DH3,Graph_AOI,33,6112,185.21212121212122,33,8477.521247772,256.8945832658182,3528.6239696289995,106.92799907966665,2536.3387164009996,76.85874898184848,427,0.2558139534883721,0.24515663230516224
30,DH3,NoAOI_AOI,51,8420,165.09803921568627,51,15484.942534772003,303.6263242112157,4095.0940104700016,80.29596098960788,4881.570824422,95.71707498866668,453,0.3953488372093023,0.33773214070835506
30,CL3,Question_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL3,Title_AOI,4,591,147.75,4,1187.72989201,296.9324730025,129.212874509,32.30321862725,648.3538361,162.088459025,169,0.09523809523809523,0.07452711223203026
30,CL3,LabelBox_AOI,1,130,130.0,1,227.31695930000004,227.31695930000004,3.026035083,3.026035083,14.61534792,14.61534792,130,0.023809523809523808,0.01639344262295082
30,CL3,OptionBox_AOI,1,257,257.0,1,366.8705494,366.8705494,66.71938266,66.71938266,108.1191731,108.1191731,257,0.023809523809523808,0.03240857503152585
30,CL3,Answers_AOI,2,588,294.0,2,757.9595028000002,378.9797514000001,239.69420299999996,119.84710149999998,218.36100959,109.180504795,395,0.047619047619047616,0.07414880201765447
30,CL3,XAxis_AOI,3,1190,396.6666666666667,3,775.8199015060001,258.60663383533335,318.40546577,106.13515525666666,155.97853067399998,51.992843558,968,0.07142857142857142,0.15006305170239598
30,CL3,YAxis_AOI,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0
30,CL3,Graph_AOI,14,2407,171.92857142857142,14,3768.72795185,269.1948537035714,1168.1026981599998,83.43590701142855,1318.9080236969996,94.20771597835711,335,0.3333333333333333,0.30353089533417404
