Current_task,FixationX,FixationY,SaccadeLength
pretask,673.0,935.0,125.32358118087753
pretask,814.0,953.0,142.1442928857856
pretask,481.0,916.0,335.0492501110844
pretask,518.0,923.0,37.656340767525464
pretask,571.0,906.0,55.65968020030299
pretask,423.0,931.0,150.0966355385756
pretask,400.0,909.0,31.827660925679098
pretask,941.0,943.0,542.0673389902771
pretask,479.0,913.0,462.97300137265023
pretask,621.0,884.0,144.9310180741169
pretask,349.0,942.0,278.1150840928985
pretask,350.0,940.0,2.23606797749979
pretask,305.0,909.0,54.644304369257
pretask,326.0,957.0,52.392747589718944
pretask,481.0,946.0,155.3898323572041
pretask,619.0,938.0,138.2316895650198
pretask,462.0,901.0,161.3009609394811
pretask,462.0,897.0,4.0
pretask,443.0,306.0,591.3053356769242
pretask,328.0,819.0,525.731870823902
pretask,580.0,153.0,712.0814560146894
pretask,634.0,263.0,122.53978945632312
pretask,402.0,754.0,543.051562929341
pretask,432.0,773.0,35.510561809129406
pretask,367.0,786.0,66.2872536767062
pretask,316.0,766.0,54.78138369920935
pretask,454.0,676.0,164.75436261295178
pretask,686.0,811.0,268.41944787961995
pretask,704.0,745.0,68.41052550594829
pretask,462.0,432.0,395.6425154100605
pretask,361.0,843.0,423.22807090267537
pretask,338.0,828.0,27.459060435491963
pretask,319.0,835.0,20.248456731316587
pretask,468.0,880.0,155.64703659241314
pretask,342.0,830.0,135.55810562264435
pretask,363.0,785.0,49.658836071740545
pretask,460.0,783.0,97.02061636580135
pretask,374.0,794.0,86.70063436907483
pretask,348.0,800.0,26.68332812825267
pretask,473.0,806.0,125.14391715141412
pretask,329.0,790.0,144.88616221019868
pretask,511.0,780.0,182.27451824103116
pretask,700.0,795.0,189.59430371189953
pretask,855.0,678.0,194.20092687729377
pretask,391.0,634.0,466.0815379308646
pretask,393.0,672.0,38.05259518088089
pretask,510.0,652.0,118.69709347747316
pretask,476.0,640.0,36.05551275463989
pretask,357.0,646.0,119.15116449284078
pretask,529.0,508.0,220.51757299589528
pretask,427.0,477.0,106.60675400742676
pretask,548.0,820.0,363.7169228947149
pretask,318.0,821.0,230.0021739027699
pretask,528.0,851.0,212.13203435596427
pretask,418.0,900.0,120.42009799032718
pretask,400.0,852.0,51.264022471905186
pretask,623.0,416.0,489.71930735881756
pretask,367.0,882.0,531.6878783647413
pretask,370.0,891.0,9.486832980505138
pretask,366.0,587.0,304.0263146505578
pretask,367.0,567.0,20.024984394500787
pretask,492.0,847.0,306.6349621292393
pretask,499.0,827.0,21.18962010041709
pretask,402.0,790.0,103.81714694596457
pretask,391.0,832.0,43.41658669218482
pretask,457.0,1038.0,216.31458573105976
pretask,428.0,730.0,309.3622472119053
pretask,425.0,737.0,7.615773105863909
pretask,686.0,695.0,264.35771220072246
pretask,92.0,435.0,648.4103638900291
pretask,98.0,494.0,59.30430001273095
pretask,472.0,475.0,374.4823093284915
pretask,1306.0,480.0,834.0149878749182
pretask,656.0,543.0,653.0459401910405
pretask,718.0,444.0,116.81181447096864
pretask,629.0,422.0,91.67878707749138
pretask,519.0,417.0,110.11357772772621
pretask,733.0,483.0,223.94642216387382
pretask,919.0,498.0,186.60385848100785
pretask,1447.0,637.0,545.9899266470032
pretask,1463.0,603.0,37.57658845611187
pretask,1447.0,616.0,20.615528128088304
pretask,1430.0,583.0,37.12142238654117
pretask,1411.0,594.0,21.95449840010015
pretask,1405.0,630.0,36.49657518178932
pretask,852.0,335.0,626.764708642725
pretask,1500.0,587.0,695.2754849698068
pretask,1446.0,706.0,130.6789960169575
pretask,1464.0,700.0,18.973665961010276
pretask,1434.0,703.0,30.14962686336267
pretask,1446.0,701.0,12.165525060596439
pretask,1405.0,696.0,41.30375285612676
pretask,1432.0,714.0,32.449961479175904
pretask,1402.0,703.0,31.953090617340916
pretask,1406.0,716.0,13.601470508735444
pretask,915.0,377.0,596.6590316085059
pretask,914.0,342.0,35.014282800023196
pretask,1414.0,673.0,599.634055070257
pretask,1039.0,277.0,545.3815178386594
pretask,907.0,283.0,132.13629327327143
pretask,749.0,250.0,161.4094173212951
pretask,1431.0,705.0,819.8469369339621
pretask,1077.0,372.0,486.00925917105735
pretask,1073.0,376.0,5.656854249492381
pretask,999.0,343.0,81.02468759581859
pretask,914.0,392.0,98.11218069128827
